"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61171","Bigbasket SideConversation Test","Bigbasket","Wed Sep 17 16:31:53 IST 2025","broken","Wed Sep 17 16:32:54 IST 2025","","bigbasket-tests/11_BigbasketSideConversation.spec.js","",""
"","62737","Bigbasket Search Test By TicketId","Bigbasket","Wed Sep 17 16:31:21 IST 2025","broken","Wed Sep 17 16:32:24 IST 2025","","bigbasket-tests/03_BigbasketTicketSearchByTicketID.spec.js","",""
"","53967","Bigbasket All Tabs Test","Bigbasket","Wed Sep 17 16:31:21 IST 2025","passed","Wed Sep 17 16:32:15 IST 2025","","bigbasket-tests/01_BigbasketAllTabsTest.spec.js","",""
"","61371","Bigbasket create Notes Test","Bigbasket","Wed Sep 17 16:31:53 IST 2025","broken","Wed Sep 17 16:32:54 IST 2025","","bigbasket-tests/10_BigbasketCreateNotes.spec.js","",""
"","61492","BigBasket Search Test by Email ID","Bigbasket","Wed Sep 17 16:31:41 IST 2025","broken","Wed Sep 17 16:32:43 IST 2025","","bigbasket-tests/05_BigbasketTicketSearchByEmailID.spec.js","",""
"","63817","BigBasket AdvanceSearch Test","Bigbasket","Wed Sep 17 16:31:21 IST 2025","broken","Wed Sep 17 16:32:25 IST 2025","","bigbasket-tests/02_BigbasketAdvanceFilter.spec.js","",""
"","61363","Bigbasket History Tab test","Bigbasket","Wed Sep 17 16:31:41 IST 2025","broken","Wed Sep 17 16:32:42 IST 2025","","bigbasket-tests/06_BigbasketHistoryTab.spec.js","",""
"","61570","Bigbasket MoreTickets Test","Bigbasket","Wed Sep 17 16:31:41 IST 2025","broken","Wed Sep 17 16:32:43 IST 2025","","bigbasket-tests/08_BigbasketMoreTickets.spec.js","",""
"","61195","Bigbasket orders Tab Test","Bigbasket","Wed Sep 17 16:31:53 IST 2025","broken","Wed Sep 17 16:32:54 IST 2025","","bigbasket-tests/09_BigasketOrdersTabTest.spec.js","",""
"","61433","Bigbasket info Tab test","Bigbasket","Wed Sep 17 16:31:41 IST 2025","broken","Wed Sep 17 16:32:42 IST 2025","","bigbasket-tests/07_BigbasketoInfoTab.spec.js","",""
"","63215","BigBasket Search Test by PhoneNumber","Bigbasket","Wed Sep 17 16:31:21 IST 2025","broken","Wed Sep 17 16:32:24 IST 2025","","bigbasket-tests/04_BigbasketTicketSearchByPhoneNumber.spec.js","",""
