"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60662","BigBasket Search Test by PhoneNumber","Bigbasket","Wed Sep 17 10:56:14 IST 2025","broken","Wed Sep 17 10:57:14 IST 2025","","bigbasket-tests/04_BigbasketTicketSearchByPhoneNumber.spec.js","",""
"","60933","Bigbasket orders Tab Test","Bigbasket","Wed Sep 17 10:56:46 IST 2025","broken","Wed Sep 17 10:57:47 IST 2025","","bigbasket-tests/09_BigasketOrdersTabTest.spec.js","",""
"","61103","Bigbasket create Notes Test","Bigbasket","Wed Sep 17 10:56:46 IST 2025","broken","Wed Sep 17 10:57:47 IST 2025","","bigbasket-tests/10_BigbasketCreateNotes.spec.js","",""
"","60644","Bigbasket info Tab test","Bigbasket","Wed Sep 17 10:56:20 IST 2025","broken","Wed Sep 17 10:57:20 IST 2025","","bigbasket-tests/07_BigbasketoInfoTab.spec.js","",""
"","39531","Bigbasket All Tabs Test","Bigbasket","Wed Sep 17 10:56:14 IST 2025","passed","Wed Sep 17 10:56:53 IST 2025","","bigbasket-tests/01_BigbasketAllTabsTest.spec.js","",""
"","51380","BigBasket AdvanceSearch Test","Bigbasket","Wed Sep 17 10:56:14 IST 2025","passed","Wed Sep 17 10:57:05 IST 2025","","bigbasket-tests/02_BigbasketAdvanceFilter.spec.js","",""
"","60715","BigBasket Search Test by Email ID","Bigbasket","Wed Sep 17 10:56:20 IST 2025","broken","Wed Sep 17 10:57:20 IST 2025","","bigbasket-tests/05_BigbasketTicketSearchByEmailID.spec.js","",""
"","60689","MeeshoCX MoreTickets Test","MeeshoCX","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","meeshocx-tests/01_MeeshoCXTicketSearchByPhoneNumber.spec.js","",""
"","61037","Bigbasket SideConversation Test","Bigbasket","Wed Sep 17 10:56:46 IST 2025","broken","Wed Sep 17 10:57:47 IST 2025","","bigbasket-tests/11_BigbasketSideConversation.spec.js","",""
"","60662","BigBasket Ticket assignment","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/13_BigbasketTAssignmentTicket.spec.js","",""
"","60673","Bigbasket MoreTickets Test","Bigbasket","Wed Sep 17 10:56:20 IST 2025","broken","Wed Sep 17 10:57:20 IST 2025","","bigbasket-tests/08_BigbasketMoreTickets.spec.js","",""
"","60682","Bigbasket History Tab test","Bigbasket","Wed Sep 17 10:56:20 IST 2025","broken","Wed Sep 17 10:57:20 IST 2025","","bigbasket-tests/06_BigbasketHistoryTab.spec.js","",""
"","60881","Bigbasket Send Message","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/12_BigasketSendMessage.spec.js","",""
"","60576","Bigbasket Search Test By TicketId","Bigbasket","Wed Sep 17 10:56:14 IST 2025","broken","Wed Sep 17 10:57:14 IST 2025","","bigbasket-tests/03_BigbasketTicketSearchByTicketID.spec.js","",""
