"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61780","BigBasket Search Test by PhoneNumber","Bigbasket","Wed Sep 17 16:10:55 IST 2025","broken","Wed Sep 17 16:11:57 IST 2025","","bigbasket-tests/04_BigbasketTicketSearchByPhoneNumber.spec.js","",""
"","61172","Bigbasket History Tab test","Bigbasket","Wed Sep 17 16:12:03 IST 2025","broken","Wed Sep 17 16:13:04 IST 2025","","bigbasket-tests/06_BigbasketHistoryTab.spec.js","",""
"","52577","BigBasket AdvanceSearch Test","Bigbasket","Wed Sep 17 16:10:55 IST 2025","passed","Wed Sep 17 16:11:48 IST 2025","","bigbasket-tests/02_BigbasketAdvanceFilter.spec.js","",""
"","62471","Bigbasket SideConversation Test","Bigbasket","Wed Sep 17 16:11:27 IST 2025","broken","Wed Sep 17 16:12:29 IST 2025","","bigbasket-tests/11_BigbasketSideConversation.spec.js","",""
"","62899","Bigbasket Send Message","Bigbasket","Wed Sep 17 15:06:12 IST 2025","broken","Wed Sep 17 15:07:15 IST 2025","","bigbasket-tests/12_BigasketSendMessage.spec.js","",""
"","63079","MeeshoCX MoreTickets Test","MeeshoCX","Wed Sep 17 15:06:11 IST 2025","broken","Wed Sep 17 15:07:14 IST 2025","","meeshocx-tests/01_MeeshoCXTicketSearchByPhoneNumber.spec.js","",""
"","61529","BigBasket Search Test by Email ID","Bigbasket","Wed Sep 17 16:12:03 IST 2025","broken","Wed Sep 17 16:13:04 IST 2025","","bigbasket-tests/05_BigbasketTicketSearchByEmailID.spec.js","",""
"","42295","Bigbasket All Tabs Test","Bigbasket","Wed Sep 17 16:10:55 IST 2025","passed","Wed Sep 17 16:11:37 IST 2025","","bigbasket-tests/01_BigbasketAllTabsTest.spec.js","",""
"","61489","Bigbasket MoreTickets Test","Bigbasket","Wed Sep 17 16:12:03 IST 2025","broken","Wed Sep 17 16:13:04 IST 2025","","bigbasket-tests/08_BigbasketMoreTickets.spec.js","",""
"","31987","Bigbasket orders Tab Test","Bigbasket","Wed Sep 17 16:11:27 IST 2025","failed","Wed Sep 17 16:11:59 IST 2025","","bigbasket-tests/09_BigasketOrdersTabTest.spec.js","",""
"","62296","Bigbasket create Notes Test","Bigbasket","Wed Sep 17 16:11:27 IST 2025","broken","Wed Sep 17 16:12:29 IST 2025","","bigbasket-tests/10_BigbasketCreateNotes.spec.js","",""
"","61605","Bigbasket Search Test By TicketId","Bigbasket","Wed Sep 17 16:10:55 IST 2025","broken","Wed Sep 17 16:11:57 IST 2025","","bigbasket-tests/03_BigbasketTicketSearchByTicketID.spec.js","",""
"","64143","BigBasket Ticket assignment","Bigbasket","Wed Sep 17 15:06:11 IST 2025","broken","Wed Sep 17 15:07:15 IST 2025","","bigbasket-tests/13_BigbasketTAssignmentTicket.spec.js","",""
"","61471","Bigbasket info Tab test","Bigbasket","Wed Sep 17 16:12:03 IST 2025","broken","Wed Sep 17 16:13:04 IST 2025","","bigbasket-tests/07_BigbasketoInfoTab.spec.js","",""
