"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30339","Bigbasket Send Message","Bigbasket","Tue Sep 16 15:47:26 IST 2025","passed","Tue Sep 16 15:47:56 IST 2025","","bigbasket-tests/12_BigasketSendMessage.spec.js","",""
"","27200","BigBasket AdvanceSearch Test","Bigbasket","Tue Sep 16 15:47:09 IST 2025","passed","Tue Sep 16 15:47:37 IST 2025","","bigbasket-tests/02_BigbasketAdvanceFilter.spec.js","",""
"","60743","Bigbasket orders Tab Test","Bigbasket","Tue Sep 16 15:47:27 IST 2025","broken","Tue Sep 16 15:48:27 IST 2025","","bigbasket-tests/09_BigasketOrdersTabTest.spec.js","",""
"","60668","Bigbasket create Notes Test","Bigbasket","Tue Sep 16 15:47:27 IST 2025","broken","Tue Sep 16 15:48:27 IST 2025","","bigbasket-tests/10_BigbasketCreateNotes.spec.js","",""
"","60704","Bigbasket SideConversation Test","Bigbasket","Tue Sep 16 15:47:27 IST 2025","broken","Tue Sep 16 15:48:27 IST 2025","","bigbasket-tests/11_BigbasketSideConversation.spec.js","",""
"","60425","Bigbasket Search Test By TicketId","Bigbasket","Tue Sep 16 15:47:09 IST 2025","broken","Tue Sep 16 15:48:10 IST 2025","","bigbasket-tests/03_BigbasketTicketSearchByTicketID.spec.js","",""
"","60440","BigBasket Search Test by PhoneNumber","Bigbasket","Tue Sep 16 15:47:09 IST 2025","broken","Tue Sep 16 15:48:10 IST 2025","","bigbasket-tests/04_BigbasketTicketSearchByPhoneNumber.spec.js","",""
"","27802","BigBasket Ticket assignment","Bigbasket","Tue Sep 16 15:47:26 IST 2025","passed","Tue Sep 16 15:47:54 IST 2025","","bigbasket-tests/13_BigbasketTAssignmentTicket.spec.js","",""
"","22608","Bigbasket All Tabs Test","Bigbasket","Tue Sep 16 15:47:09 IST 2025","passed","Tue Sep 16 15:47:32 IST 2025","","bigbasket-tests/01_BigbasketAllTabsTest.spec.js","",""
"","60516","MeeshoCX MoreTickets Test","MeeshoCX","Tue Sep 16 15:47:26 IST 2025","broken","Tue Sep 16 15:48:27 IST 2025","","meeshocx-tests/01_MeeshoCXTicketSearchByPhoneNumber.spec.js","",""
