"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60881","Bigbasket Send Message","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/12_BigasketSendMessage.spec.js","",""
"","60798","BigBasket Search Test by Email ID","Bigbasket","Tue Sep 16 17:50:44 IST 2025","broken","Tue Sep 16 17:51:45 IST 2025","","bigbasket-tests/05_BigbasketTicketSearchByEmailID.spec.js","",""
"","60832","Bigbasket History Tab test","Bigbasket","Tue Sep 16 17:50:44 IST 2025","broken","Tue Sep 16 17:51:45 IST 2025","","bigbasket-tests/06_BigbasketHistoryTab.spec.js","",""
"","60776","BigBasket Search Test by PhoneNumber","Bigbasket","Tue Sep 16 17:50:44 IST 2025","broken","Tue Sep 16 17:51:45 IST 2025","","bigbasket-tests/04_BigbasketTicketSearchByPhoneNumber.spec.js","",""
"","60849","Bigbasket MoreTickets Test","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/08_BigbasketMoreTickets.spec.js","",""
"","60533","BigBasket AdvanceSearch Test","Bigbasket","Tue Sep 16 17:50:44 IST 2025","broken","Tue Sep 16 17:51:44 IST 2025","","bigbasket-tests/02_BigbasketAdvanceFilter.spec.js","",""
"","31538","Bigbasket All Tabs Test","Bigbasket","Tue Sep 16 17:50:44 IST 2025","passed","Tue Sep 16 17:51:16 IST 2025","","bigbasket-tests/01_BigbasketAllTabsTest.spec.js","",""
"","61106","Bigbasket Search Test By TicketId","Bigbasket","Tue Sep 16 17:50:44 IST 2025","broken","Tue Sep 16 17:51:45 IST 2025","","bigbasket-tests/03_BigbasketTicketSearchByTicketID.spec.js","",""
"","60787","Bigbasket SideConversation Test","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/11_BigbasketSideConversation.spec.js","",""
"","60748","Bigbasket create Notes Test","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/10_BigbasketCreateNotes.spec.js","",""
"","60662","BigBasket Ticket assignment","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/13_BigbasketTAssignmentTicket.spec.js","",""
"","60756","Bigbasket orders Tab Test","Bigbasket","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","bigbasket-tests/09_BigasketOrdersTabTest.spec.js","",""
"","60837","Bigbasket info Tab test","Bigbasket","Tue Sep 16 17:50:44 IST 2025","broken","Tue Sep 16 17:51:45 IST 2025","","bigbasket-tests/07_BigbasketoInfoTab.spec.js","",""
"","60689","MeeshoCX MoreTickets Test","MeeshoCX","Tue Sep 16 17:50:49 IST 2025","broken","Tue Sep 16 17:51:49 IST 2025","","meeshocx-tests/01_MeeshoCXTicketSearchByPhoneNumber.spec.js","",""
